2017-05-24 08:09:11 startup archives install
2017-05-24 08:09:11 install base-passwd:armhf <none> 3.5.26
2017-05-24 08:09:11 status half-installed base-passwd:armhf 3.5.26
2017-05-24 08:09:11 status unpacked base-passwd:armhf 3.5.26
2017-05-24 08:09:11 status unpacked base-passwd:armhf 3.5.26
2017-05-24 08:09:11 configure base-passwd:armhf 3.5.26 3.5.26
2017-05-24 08:09:11 status unpacked base-passwd:armhf 3.5.26
2017-05-24 08:09:11 status half-configured base-passwd:armhf 3.5.26
2017-05-24 08:09:11 status installed base-passwd:armhf 3.5.26
2017-05-24 08:09:11 startup archives install
2017-05-24 08:09:11 install base-files:armhf <none> 7.1wheezy11
2017-05-24 08:09:11 status half-installed base-files:armhf 7.1wheezy11
2017-05-24 08:09:11 status unpacked base-files:armhf 7.1wheezy11
2017-05-24 08:09:11 status unpacked base-files:armhf 7.1wheezy11
2017-05-24 08:09:12 configure base-files:armhf 7.1wheezy11 7.1wheezy11
2017-05-24 08:09:12 status unpacked base-files:armhf 7.1wheezy11
2017-05-24 08:09:12 status unpacked base-files:armhf 7.1wheezy11
2017-05-24 08:09:12 status unpacked base-files:armhf 7.1wheezy11
2017-05-24 08:09:12 status unpacked base-files:armhf 7.1wheezy11
2017-05-24 08:09:12 status unpacked base-files:armhf 7.1wheezy11
2017-05-24 08:09:12 status unpacked base-files:armhf 7.1wheezy11
2017-05-24 08:09:12 status unpacked base-files:armhf 7.1wheezy11
2017-05-24 08:09:12 status half-configured base-files:armhf 7.1wheezy11
2017-05-24 08:09:13 status installed base-files:armhf 7.1wheezy11
2017-05-24 08:09:13 startup archives install
2017-05-24 08:09:13 upgrade dpkg 1.16.18 1.16.18
2017-05-24 08:09:13 status half-configured dpkg 1.16.18
2017-05-24 08:09:13 status unpacked dpkg 1.16.18
2017-05-24 08:09:13 status half-installed dpkg 1.16.18
2017-05-24 08:09:14 status half-installed dpkg 1.16.18
2017-05-24 08:09:14 status unpacked dpkg 1.16.18
2017-05-24 08:09:14 status unpacked dpkg 1.16.18
2017-05-24 08:09:14 configure dpkg 1.16.18 1.16.18
2017-05-24 08:09:14 status unpacked dpkg 1.16.18
2017-05-24 08:09:14 status unpacked dpkg 1.16.18
2017-05-24 08:09:14 status unpacked dpkg 1.16.18
2017-05-24 08:09:14 status unpacked dpkg 1.16.18
2017-05-24 08:09:14 status unpacked dpkg 1.16.18
2017-05-24 08:09:14 status half-configured dpkg 1.16.18
2017-05-24 08:09:14 status installed dpkg 1.16.18
2017-05-24 08:09:14 startup archives install
2017-05-24 08:09:14 install libc6:armhf <none> 2.13-38+deb7u10
2017-05-24 08:09:14 status half-installed libc6:armhf 2.13-38+deb7u10
2017-05-24 08:09:14 status unpacked libc6:armhf 2.13-38+deb7u10
2017-05-24 08:09:14 status unpacked libc6:armhf 2.13-38+deb7u10
2017-05-24 08:09:14 configure libc6:armhf 2.13-38+deb7u10 2.13-38+deb7u10
2017-05-24 08:09:14 status unpacked libc6:armhf 2.13-38+deb7u10
2017-05-24 08:09:14 status unpacked libc6:armhf 2.13-38+deb7u10
2017-05-24 08:09:14 status half-configured libc6:armhf 2.13-38+deb7u10
2017-05-24 08:09:17 status installed libc6:armhf 2.13-38+deb7u10
2017-05-24 08:09:17 startup archives install
2017-05-24 08:09:17 install perl-base:armhf <none> 5.14.2-21+deb7u3
2017-05-24 08:09:17 status half-installed perl-base:armhf 5.14.2-21+deb7u3
2017-05-24 08:09:17 status unpacked perl-base:armhf 5.14.2-21+deb7u3
2017-05-24 08:09:18 status unpacked perl-base:armhf 5.14.2-21+deb7u3
2017-05-24 08:09:18 configure perl-base:armhf 5.14.2-21+deb7u3 5.14.2-21+deb7u3
2017-05-24 08:09:18 status unpacked perl-base:armhf 5.14.2-21+deb7u3
2017-05-24 08:09:18 status half-configured perl-base:armhf 5.14.2-21+deb7u3
2017-05-24 08:09:18 status installed perl-base:armhf 5.14.2-21+deb7u3
2017-05-24 08:09:18 startup archives install
2017-05-24 08:09:18 install mawk:armhf <none> 1.3.3-17
2017-05-24 08:09:18 status half-installed mawk:armhf 1.3.3-17
2017-05-24 08:09:18 status unpacked mawk:armhf 1.3.3-17
2017-05-24 08:09:18 status unpacked mawk:armhf 1.3.3-17
2017-05-24 08:09:18 configure mawk:armhf 1.3.3-17 1.3.3-17
2017-05-24 08:09:18 status unpacked mawk:armhf 1.3.3-17
2017-05-24 08:09:18 status half-configured mawk:armhf 1.3.3-17
2017-05-24 08:09:18 status installed mawk:armhf 1.3.3-17
2017-05-24 08:09:18 startup archives install
2017-05-24 08:09:18 install debconf:all <none> 1.5.49
2017-05-24 08:09:18 status half-installed debconf:all 1.5.49
2017-05-24 08:09:18 status unpacked debconf:all 1.5.49
2017-05-24 08:09:18 status unpacked debconf:all 1.5.49
2017-05-24 08:09:18 configure debconf:all 1.5.49 1.5.49
2017-05-24 08:09:18 status unpacked debconf:all 1.5.49
2017-05-24 08:09:18 status unpacked debconf:all 1.5.49
2017-05-24 08:09:18 status unpacked debconf:all 1.5.49
2017-05-24 08:09:18 status unpacked debconf:all 1.5.49
2017-05-24 08:09:18 status half-configured debconf:all 1.5.49
2017-05-24 08:09:20 status installed debconf:all 1.5.49
2017-05-24 08:09:20 startup archives unpack
2017-05-24 08:09:20 install libacl1:armhf <none> 2.2.51-8
2017-05-24 08:09:20 status half-installed libacl1:armhf 2.2.51-8
2017-05-24 08:09:20 status unpacked libacl1:armhf 2.2.51-8
2017-05-24 08:09:20 status unpacked libacl1:armhf 2.2.51-8
2017-05-24 08:09:20 install libattr1:armhf <none> 1:2.4.46-8
2017-05-24 08:09:20 status half-installed libattr1:armhf 1:2.4.46-8
2017-05-24 08:09:20 status unpacked libattr1:armhf 1:2.4.46-8
2017-05-24 08:09:20 status unpacked libattr1:armhf 1:2.4.46-8
2017-05-24 08:09:20 upgrade base-files:armhf 7.1wheezy11 7.1wheezy11
2017-05-24 08:09:20 status half-configured base-files:armhf 7.1wheezy11
2017-05-24 08:09:20 status unpacked base-files:armhf 7.1wheezy11
2017-05-24 08:09:20 status half-installed base-files:armhf 7.1wheezy11
2017-05-24 08:09:20 status half-installed base-files:armhf 7.1wheezy11
2017-05-24 08:09:20 status unpacked base-files:armhf 7.1wheezy11
2017-05-24 08:09:20 status unpacked base-files:armhf 7.1wheezy11
2017-05-24 08:09:21 upgrade base-passwd:armhf 3.5.26 3.5.26
2017-05-24 08:09:21 status half-configured base-passwd:armhf 3.5.26
2017-05-24 08:09:21 status unpacked base-passwd:armhf 3.5.26
2017-05-24 08:09:21 status half-installed base-passwd:armhf 3.5.26
2017-05-24 08:09:21 status half-installed base-passwd:armhf 3.5.26
2017-05-24 08:09:21 status unpacked base-passwd:armhf 3.5.26
2017-05-24 08:09:21 status unpacked base-passwd:armhf 3.5.26
2017-05-24 08:09:21 install bash:armhf <none> 4.2+dfsg-0.1+deb7u3
2017-05-24 08:09:21 status half-installed bash:armhf 4.2+dfsg-0.1+deb7u3
2017-05-24 08:09:21 status unpacked bash:armhf 4.2+dfsg-0.1+deb7u3
2017-05-24 08:09:21 status unpacked bash:armhf 4.2+dfsg-0.1+deb7u3
2017-05-24 08:09:21 install libbz2-1.0:armhf <none> 1.0.6-4
2017-05-24 08:09:21 status half-installed libbz2-1.0:armhf 1.0.6-4
2017-05-24 08:09:21 status unpacked libbz2-1.0:armhf 1.0.6-4
2017-05-24 08:09:21 status unpacked libbz2-1.0:armhf 1.0.6-4
2017-05-24 08:09:21 install coreutils:armhf <none> 8.13-3.5
2017-05-24 08:09:21 status half-installed coreutils:armhf 8.13-3.5
2017-05-24 08:09:22 status unpacked coreutils:armhf 8.13-3.5
2017-05-24 08:09:22 status unpacked coreutils:armhf 8.13-3.5
2017-05-24 08:09:22 install dash:armhf <none> 0.5.7-3
2017-05-24 08:09:22 status half-installed dash:armhf 0.5.7-3
